epoch,phase,loss,acc
157,val,0.3540,0.9109
158,train,0.2767,0.9153
158,val,0.3734,0.8986
159,train,0.2769,0.9147
159,val,0.3874,0.8979
160,train,0.2698,0.9185
160,val,0.3925,0.9012
161,train,0.2790,0.9164
161,val,0.3769,0.9031
162,train,0.2732,0.9139
162,val,0.3857,0.9038
163,train,0.2609,0.9195
163,val,0.3874,0.9070
164,train,0.2836,0.9109
164,val,0.3816,0.9031
165,train,0.2685,0.9200
165,val,0.3838,0.8992
166,train,0.2675,0.9160
166,val,0.3984,0.8986
167,train,0.2513,0.9176
167,val,0.3825,0.8992
168,train,0.2620,0.9196
168,val,0.3506,0.9057
169,train,0.2758,0.9158
169,val,0.3958,0.8966
