epoch,phase,loss,acc
193,train,0.3677,0.8892
193,val,0.4444,0.8758
194,train,0.3891,0.8832
194,val,0.4648,0.8804
195,train,0.3754,0.8844
195,val,0.4620,0.8810
196,train,0.3541,0.8871
196,val,0.4872,0.8804
197,train,0.3826,0.8824
197,val,0.4530,0.8810
198,train,0.3533,0.8904
198,val,0.4453,0.8810
199,train,0.3807,0.8848
199,val,0.4968,0.8745
