iter	Passed	Remaining
666	31876	15914
667	31924	15866
668	31975	15820
669	32021	15771
670	32068	15723
671	32112	15674
672	32162	15627
673	32206	15577
674	32254	15529
675	32296	15479
676	32348	15433
677	32396	15385
678	32444	15338
679	32494	15291
680	32542	15243
681	32590	15196
682	32637	15147
683	32685	15100
684	32734	15052
685	32780	15004
686	32831	14958
687	32880	14910
688	32926	14862
689	32973	14814
690	33023	14767
691	33077	14722
692	33127	14675
693	33176	14628
694	33224	14580
695	33271	14532
696	33316	14483
697	33363	14435
698	33413	14388
699	33459	14339
700	33509	14293
701	33557	14245
702	33600	14195
703	33648	14147
704	33697	14100
705	33747	14053
706	33795	14005
707	33840	13957
708	33887	13908
709	33933	13860
710	33977	13810
711	34026	13763
712	34072	13714
713	34124	13668
714	34175	13622
715	34221	13573
716	34267	13525
717	34313	13476
718	34358	13427
719	34405	13379
720	34454	13332
721	34506	13286
722	34553	13238
723	34604	13191
724	34656	13145
725	34703	13097
726	34753	13050
727	34798	13001
728	34841	12952
729	34888	12903
730	34935	12855
731	34979	12806
732	35025	12758
733	35076	12711
734	35123	12663
735	35171	12615
736	35217	12567
737	35264	12519
738	35313	12472
739	35357	12422
740	35404	12374
741	35452	12327
742	35499	12279
743	35548	12231
744	35594	12183
745	35644	12136
746	35691	12088
747	35735	12039
748	35781	11990
749	35825	11941
750	35873	11894
751	35920	11846
752	35966	11797
753	36013	11749
754	36063	11702
755	36111	11654
756	36154	11605
757	36203	11558
758	36249	11510
759	36299	11463
760	36346	11415
761	36397	11368
762	36443	11319
763	36494	11273
764	36543	11225
765	36593	11178
766	36642	11131
767	36692	11084
768	36741	11036
769	36792	10989
770	36841	10942
771	36893	10895
772	36941	10848
773	36991	10801
774	37039	10753
775	37088	10705
776	37131	10656
777	37180	10609
778	37228	10561
779	37276	10513
780	37321	10465
781	37371	10418
782	37419	10370
783	37468	10322
784	37518	10275
785	37564	10227
786	37611	10179
787	37664	10132
788	37716	10086
789	37764	10038
790	37810	9990
791	37859	9943
792	37906	9894
793	37952	9846
794	38000	9798
795	38052	9752
796	38099	9704
797	38144	9655
798	38194	9608
799	38242	9560
800	38290	9512
801	38339	9465
802	38388	9417
803	38440	9370
804	38484	9322
805	38534	9275
806	38582	9227
807	38630	9179
808	38678	9131
809	38726	9084
810	38772	9035
811	38817	8987
812	38865	8939
813	38913	8891
814	38961	8844
815	39014	8797
816	39055	8748
817	39099	8699
818	39149	8652
819	39197	8604
820	39245	8556
821	39295	8509
822	39342	8461
823	39387	8412
824	39434	8364
825	39479	8316
826	39526	8268
827	39575	8220
828	39621	8172
829	39670	8125
830	39717	8077
831	39765	8029
832	39814	7982
833	39861	7934
834	39909	7886
835	39953	7837
836	39998	7789
837	40044	7741
838	40090	7693
839	40138	7645
840	40187	7597
841	40238	7550
842	40284	7502
843	40331	7454
844	40375	7406
845	40422	7358
846	40468	7310
847	40514	7261
848	40559	7213
849	40602	7165
850	40651	7117
851	40699	7069
852	40748	7022
853	40796	6974
854	40840	6926
855	40886	6878
856	40934	6830
857	40980	6782
858	41027	6734
859	41075	6686
860	41124	6639
861	41171	6591
862	41219	6543
863	41269	6496
864	41319	6448
865	41369	6401
866	41422	6354
867	41464	6305
868	41514	6258
869	41567	6211
870	41618	6163
871	41664	6115
